DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
200204491,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1930,Rampart,BURGLARY FROM VEHICLE,39,M,W,,Invest Cont,600    HELIOTROPE                   DR
200204492,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,2130,Rampart,"BURGLARY FROM VEHICLE, ATTEMPTED",22,M,H,,Invest Cont,GRAND VIEW
202012670,07/27/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1900,Olympic,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),39,M,O,,Invest Cont,4600    ROSEWOOD                     AV
200204498,01/11/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1800,Rampart,BURGLARY FROM VEHICLE,31,M,O,,Invest Cont,GOLDEN GATE                  AV
200204500,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1100,Rampart,THEFT OF IDENTITY,55,F,H,,Invest Cont,2200    BEVERLY                      BL
200204502,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1915,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,M,H,BRASS KNUCKLES,Invest Cont,1100 S  LAKE                         ST
200204503,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1040,Rampart,BURGLARY FROM VEHICLE,55,F,H,,Invest Cont,2200    BEVERLY                      BL
200204505,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1715,Rampart,BATTERY - SIMPLE ASSAULT,48,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1400    COURTLAND                    AV
200117762,09/11/2020 12:00:00 AM,09/11/2020 12:00:00 AM,515,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,1400 S  GRAND                        AV
200204508,01/11/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1830,Rampart,BURGLARY FROM VEHICLE,53,F,H,,Invest Cont,700 S  CARONDELET                   ST
